,suburb,latitude,longitude,distance
37,Chelmer,-27.5163,152.9759,7.088325507056049
38,Chermside,-27.3859344,153.0294751,9.299883398933025
39,Chermside West,-27.381389,153.012222,9.87633192538819
40,Chuwar,-27.563889,152.779167,26.4433721681643
41,Clayfield,-27.4159369,153.0583828,6.811544705151028
42,Coopers Plains,-27.5703,153.0372,11.203536629207154
43,Coorparoo,-27.4945318,153.0592549,4.348166018153952
44,Corinda,-27.5442725,152.9823835,9.273043103403706
45,Darra,-27.5660241,152.9532121,12.81555875869639
46,Deagon,-27.328,153.06,16.083818892624148
47,Doolandella,-27.616667,152.983333,16.793106141195654
48,Drewvale,-27.65,153.05,20.122179234466394
49,Durack,-27.583333,152.983333,13.243946715096426
50,Dutton Park,-27.494167,153.025833,2.7042912315786194
51,Eagle Farm,-27.4332513,153.0829416,7.0031806468158635
52,East Brisbane,-27.482,153.051,2.894314767199117
53,Eight Mile Plains,-27.5758579,153.0921619,13.492916833720182
54,Ellen Grove,-27.616667,152.95,17.88936091551082
55,England Creek,-27.4181734,152.6656057,35.99961305351476
56,Enoggera,-27.428,152.978,6.567047835761819
57,Enoggera Reservoir,-27.4258953,152.8807427,15.078614409356804
58,Everton Park,-27.398056,152.988889,8.716948715415251
59,Fairfield,-27.5065,153.0247,4.070234718059133
60,Ferny Grove,-27.403056,152.928056,12.11417632789863
61,Fig Tree Pocket,-27.531716,152.968225,8.872841147194258
62,Fitzgibbon,-27.35,153.033333,13.296599726940256
63,Forest Lake,-27.616667,152.966667,17.271602510874533
64,Fortitude Valley,-27.4565,153.0345,1.7382395955656536
65,Gaythorne,-27.418,152.983,7.088905906242046
66,Geebung,-27.371,153.048,11.176121781914617
67,Gordon Park,-27.416,153.027,5.961246987631648
68,Graceville,-27.520922,152.980912,7.156425500536409
69,Grange,-27.423,153.015,5.278435259612671
70,Greenslopes,-27.5096657,153.0528149,5.1992352179038095
71,Gumdale,-27.4942399,153.1590306,13.508715883444948
72,Hamilton,-27.437,153.059,4.939761542723223
73,Hawthorne,-27.467,153.058,3.2639969362700554
74,Heathwood,-27.633333,152.983333,18.588736665995814
75,Hemmant,-27.45,153.133333,10.918340421818515
76,Hendra,-27.4192349,153.0736864,7.3762157805701225
77,Herston,-27.4451489,153.0206887,2.7633544047172847
78,Highgate Hill,-27.487,153.019,2.0028218577852166
79,Holland Park,-27.517,153.067,6.6719017388313056
80,Holland Park West,-27.5228673,153.0603204,6.834798580466436
81,Inala,-27.5856,152.9754,13.743079334241264
82,Indooroopilly,-27.5020067,152.9758891,6.036042224250743
83,Jamboree Heights,-27.557147,152.9338313,13.232602184391089
84,Jindalee,-27.5373,152.9354,11.601399738578712
85,Kalinga,-27.4103549,153.0479146,6.958794055167893
86,Kangaroo Point,-27.466667,153.033333,0.8813081746494312
87,Karana Downs,-27.55,152.822222,21.930200551837554
88,Karawatha,-27.633333,153.083333,19.01466301293045
89,Kedron,-27.4000075,153.031578,7.756783579487577
90,Kelvin Grove,-27.45,153.016667,2.3448618167344875
91,Kenmore,-27.519,152.9375,10.233864401070855
92,Kenmore Hills,-27.5,152.933333,9.66997601669503
93,Keperra,-27.411944,152.955,9.440499056976812
94,Kholo,-27.524,152.764,26.493394600594943
95,Kuraby,-27.605579,153.0942431,16.525536460039216
96,Lake Manchester,-27.4887166,152.7452483,27.73980527421982
97,Larapinta,-27.633333,153,18.29377275347456
98,Lota,-27.466667,153.183333,15.641287280031298
99,Lutwyche,-27.423,153.034,5.256455093202956
100,Lytton,-27.416667,153.166667,15.180301577368706
