,suburb,latitude,longitude,distance
165,Constitution Hill,-33.7945,150.9765,23.072023904963203
166,Coogee,-33.919,151.2555,7.017603410403204
167,Cornwallis,-33.592,150.812,47.94184609710052
168,Cottage Point,-33.62090999999999,151.20225,27.505343827406193
169,Cowan,-33.5879078,151.16854,31.38614798390039
170,Cranebrook,-33.72088,150.71302,48.79975808531484
171,Cremorne,-33.8265345,151.2276279,4.987700613155258
172,Cremorne Point,-33.84076,151.22789,3.556391061110907
173,Cromer,-33.74142,151.28227,15.663468804427358
174,Cronulla,-34.05744,151.15219,21.577547407686232
175,Crows Nest,-33.82613,151.20505,4.751400090955576
176,Croydon,-33.8808766,151.1154679,8.78334382578856
177,Croydon Park,-33.89679,151.10951,9.738700165717995
178,Cumberland Reach,-33.8688197,151.2092955,0.0
179,Curl Curl,-33.77213,151.28992,13.06648121357091
180,Currans Hill,-34.04084,150.76853,44.988279318954994
181,Currawong Beach,-33.5952002,151.2979869,31.442521694330217
182,Daceyville,-33.92793,151.22349,6.686707432857671
183,Dangar Island,-33.54142,151.2381,36.41225794116288
184,Darling Point,-33.87021,151.23746,2.6105019804213963
185,Darlinghurst,-33.8780176,151.2204441,1.450805708924004
186,Darlington,-33.890334,151.19661,2.6593417232765417
187,Davidson,-33.73801,151.19297,14.587797881288793
188,Dawes Point,-33.856,151.207,1.437737168666345
189,Dean Park,-33.7333,150.85,36.50867239610127
190,Dee Why,-33.7544,151.2854,14.516231651321567
191,Denham Court,-33.9844003,150.8444381,36.09005397416357
192,Denistone,-33.80085,151.08648,13.640921949257557
193,Denistone East,-33.79885,151.09948,12.78906201213301
194,Denistone West,-33.8007216,151.0777054,14.332348103681435
195,Dharruk,-33.74807,150.8159,38.80942675286683
196,Dolans Bay,-34.06259,151.12641,22.81766795260913
197,Dolls Point,-33.99386,151.14301,15.163345106506648
198,Doonside,-33.7639837,150.8696588,33.52580329851152
199,Double Bay,-33.8775,151.2412,3.1049192265939274
200,Dover Heights,-33.87185,151.27837,6.399945082591605
201,Drummoyne,-33.8510541,151.1545209,5.438208052751107
202,Duffys Forest,-33.67525,151.19789,21.496395337611915
203,Dulwich Hill,-33.90332679999999,151.1424436,7.272963956491537
204,Dundas,-33.80404,151.0351,17.65235253893961
205,Dundas Valley,-33.79312,151.05999,16.171491253998063
206,Dural,-33.682,151.029,26.61368912679172
207,Eagle Vale,-34.03686,150.81144,41.22984648096428
208,Earlwood,-33.922442,151.1286591,9.539826757142485
209,East Gordon,-33.7471743,151.1575123,14.319368340237277
210,East Hills,-33.96396,150.98974,22.88222085756248
211,East Killara,-33.75592,151.17973,12.818419648035707
212,East Kurrajong,-33.515278,150.767778,56.687440476374526
213,East Lindfield,-33.77274,151.18726,10.850574712161833
214,East Ryde,-33.81,151.135,9.479152744219324
215,Eastern Creek,-33.8071983,150.8514864,33.81666022624887
216,Eastgardens,-33.946,151.225,8.683228456344377
217,Eastlakes,-33.9272474,151.2106299,6.482007555019533
218,Eastwood,-33.790362,151.081731,14.668798812888369
219,Ebenezer,-33.5318,150.8679,48.98034965200663
220,Edensor Park,-33.88095,150.87516,30.943473175511073
221,Edgecliff,-33.8799875,151.2357452,2.742800895941037
222,Edmondson Park,-33.9606778,150.8622496,33.672286513471825
223,Elanora Heights,-33.70102,151.2789,19.696903821306382
224,Elderslie,-34.05462,150.7125,50.329891465345355
225,Elizabeth Bay,-33.87143,151.22841,1.7921152231416488
226,Elizabeth Hills,-33.9000666,150.8478522,33.6161419224415
227,Ellis Lane,-34.034,150.675,52.677772649265876
228,Elvina Bay,-33.639515,151.277825,26.214533803564528
229,Emerton,-33.75,150.8027,39.88713001079263
230,Emu Heights,-33.73521,150.6503,53.841818714930824
231,Emu Plains,-33.75206,150.65967,52.511546937030005
232,Enfield,-33.89059,151.09246,11.075462417873524
233,Engadine,-34.065722,151.012664,28.41242062838816
234,Englorie Park,-34.0806577,150.7948026,44.93701154287652
235,Enmore,-33.90067,151.16768,5.225144557706034
236,Epping,-33.7746,151.0788,15.973957808943041
237,Ermington,-33.8143301,151.0562386,15.401758227148513
238,Erskine Park,-33.81323,150.80143,38.25083328155346
239,Erskineville,-33.90476,151.18479,4.585984722423536
240,Eschol Park,-34.0304,150.80942,41.08008251890419
241,Eveleigh,-33.895,151.191,3.3611823532428535
242,Fairfield,-33.8705856,150.9564102,23.39917892074935
243,Fairfield East,-33.87177,150.97346,21.82312022408024
244,Fairfield Heights,-33.86848,150.94239,24.695917420947676
245,Fairfield West,-33.87112,150.92322,26.47044697446209
246,Fairlight,-33.796,151.277,10.223335686658167
247,Fiddletown,-33.60259,151.04984,33.020387117962066
248,Five Dock,-33.8692538,151.1295659,7.377243584427961
249,Flemington,-33.8649268,151.0696729,12.926304633444333
250,Forest Glen,-33.55054,151.01974,39.433882565514836
251,Forest Lodge,-33.88396,151.1815,3.0713783285321767
252,Forestville,-33.7613,151.2113,11.92742689700892
